adsh,tag,version,ddate,qtrs,uom,dimh,iprx,value,footnote,footlen,dimn,coreg,durp,datp,dcml
0001193125-24-075464,AdditionsOtherThanThroughBusinessCombinationsPropertyPlantAndEquipment,ifrs/2023,20221231,4,CAD,0x00ea2ffd37f224336c0682cb2165bd87,0,143448000.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdditionsOtherThanThroughBusinessCombinationsPropertyPlantAndEquipment,ifrs/2023,20221231,4,CAD,0x240f5755ad2c4d553a5cf9e24a6c03df,0,193000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,AdditionsOtherThanThroughBusinessCombinationsPropertyPlantAndEquipment,ifrs/2023,20221231,4,CAD,0x515c503fd395cc5a10d51f231ca59ef2,0,209000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,AdditionsOtherThanThroughBusinessCombinationsPropertyPlantAndEquipment,ifrs/2023,20221231,4,CAD,0x6053f29f68a91d154206e390683cc852,0,4385000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,AdditionsOtherThanThroughBusinessCombinationsPropertyPlantAndEquipment,ifrs/2023,20221231,4,CAD,0xa10b6b8f4ac53fa05bdfe1b1649fab1b,0,129734000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,AdditionsOtherThanThroughBusinessCombinationsPropertyPlantAndEquipment,ifrs/2023,20221231,4,CAD,0xdc7b62d0ab1ee42ae3b6229fc4a9e1fb,0,8927000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,AdditionsOtherThanThroughBusinessCombinationsPropertyPlantAndEquipment,ifrs/2023,20231231,4,CAD,0x00ea2ffd37f224336c0682cb2165bd87,0,153631000.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdditionsOtherThanThroughBusinessCombinationsPropertyPlantAndEquipment,ifrs/2023,20231231,4,CAD,0x240f5755ad2c4d553a5cf9e24a6c03df,0,92000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,AdditionsOtherThanThroughBusinessCombinationsPropertyPlantAndEquipment,ifrs/2023,20231231,4,CAD,0x515c503fd395cc5a10d51f231ca59ef2,0,3461000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,AdditionsOtherThanThroughBusinessCombinationsPropertyPlantAndEquipment,ifrs/2023,20231231,4,CAD,0x6053f29f68a91d154206e390683cc852,0,9062000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,AdditionsOtherThanThroughBusinessCombinationsPropertyPlantAndEquipment,ifrs/2023,20231231,4,CAD,0xa10b6b8f4ac53fa05bdfe1b1649fab1b,0,111518000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,AdditionsOtherThanThroughBusinessCombinationsPropertyPlantAndEquipment,ifrs/2023,20231231,4,CAD,0xdc7b62d0ab1ee42ae3b6229fc4a9e1fb,0,29498000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,AdditionsToRightofuseAssets,ifrs/2023,20221231,4,CAD,0x00000000,0,7853000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdditionsToRightofuseAssets,ifrs/2023,20221231,4,CAD,0x0ebd096f01f2a54209feaf11ae545ea7,0,0.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdditionsToRightofuseAssets,ifrs/2023,20221231,4,CAD,0x12faf8377383b01ce390c53e97c277ed,0,0.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdditionsToRightofuseAssets,ifrs/2023,20221231,4,CAD,0x3402bf640f0287ada8973c2d97fd81da,0,1330000.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdditionsToRightofuseAssets,ifrs/2023,20221231,4,CAD,0x76b903fe9092a186a6dd1a77efe33910,0,606000.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdditionsToRightofuseAssets,ifrs/2023,20221231,4,CAD,0xa1ef62f6db5758d439a1c8abc315fa0c,0,5917000.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdditionsToRightofuseAssets,ifrs/2023,20231231,4,CAD,0x00000000,0,4368000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdditionsToRightofuseAssets,ifrs/2023,20231231,4,CAD,0x0ebd096f01f2a54209feaf11ae545ea7,0,0.0,,0,1,,0.01095891,0.0,-3
