dimhash,segments,segt
0x991ed0c750167f6154c01ae0cdb37a7b,GeographicalAreas=US;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2036;,0
0x20fcae70f411acc5a36fc75f6f27f49b,BorrowingsByName=UsTermLoan;,0
0x72257425ad24db18f1bec37ef974bdd4,BusinessCombinations=WestinghouseElectricCompany;CategoriesOfRelatedParties=BrookfieldRenewablePartners;,0
0x8a97f2a751643313877b5e69efb5b00c,GeographicalAreas=CA;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2028;,0
0x15c5a59e72f1e2839d1ea6edbffa28d4,TypesOfSharebasedPaymentArrangements=RestrictedShareUnitPlanEquitySettledMember;,0
0x55d7d543d91751969d0a11b86a79dd81,ClassesOfAssets=USequitySecurities;DefinedBenefitPlans=PensionDefinedBenefitPlans;,0
0x28afacd2d383278339f5fe9d34d545a2,ClassesOfFinancialLiabilities=AccountsPayableAndAccruedLiabilities;Maturity=LaterThanThreeYearsAndNotLaterThanFiveYears;,0
0xf385be2688ef2e8e8daeb6c74dceaa73,LiabilitiesArisingFromFinancingActivities=InterestPayable;,0
0x09e0897209e34f2766bdcd98b62f9574,GeographicalAreas=CA;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2039;,0
0xc2dc3a3ec285392f18dc99f85f42fb3f,Range=TopOfRange;,0
0x1e03a7c5accbe0015589fce57bfdbab8,Maturity=LaterThanThreeYearsAndNotLaterThanFourYears;Segments=FuelServices;,0
0x1d8665edc438c795fc8bd90361f971f4,ClassesOfProvisions=ProvisionForDecommissioningRestorationAndRehabilitationCosts;,0
0x0ccbc0484eb9ad2ebd20cc1c1f0c8394,GeographicalAreas=US;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2035;,0
0x7d05d8983b34cb1e4c55f220e39a40fa,CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmount=GrossCarryingAmount;ClassesOfIntangibleAssetsAndGoodwill=IntellectualProperty;,0
0x78254cb52a8999f7cafa8588f69f7d88,ClassesOfFinancialInstruments=NetForeignCurrencyDerivatives;TypesOfRisks=CurrencyRisk;,0
0x2897483a6213affeb70e061e85fffce0,GeographicalAreas=ForeignCountries;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2029;,0
0x5eda3b7217b2c9684ff84431f9b21829,TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2031;,0
0xe55b42e51c59397d205416b5a4828c8e,GeographicalAreas=ForeignCountries;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2033;,0
0xb472bcb0489fab16f9fa29e73b9733bc,Segments=Uranium;TypesOfContracts=FixedpriceContracts;,0
0x6454dc9bb80d2688f22b19a3b03f3392,GeographicalAreas=US;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2043;,0
0xb113eb227783374a8e1ef31038d04bb3,BorrowingsByName=UnsecuredRevolvingCreditFacility;,0
0x9ce476ce0484aea6e82e0bb2421eb9cf,TypesOfSharebasedPaymentArrangements=StockOptionPlan;,0
0x0d7cf19c38e96175efc13c365d321bd5,ExternalCreditGrades=NonInvestmentGradeRating;,0
